,movieId,title,directors,writers,stars,year,certificate,length (min),Storyline,languages,Oscars,genres,popularity,Rating
0,5,Father of the Bride Part II ,['charles_shyer'],"['albert_hackett', 'frances_goodrich', 'nancy_meyers']","['steve_martin', 'diane_keaton', 'martin_short']",1995,PG,106,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",['English'],,['Comedy'],popular,Low_rated
1,1,Toy Story ,['john_lasseter'],"['john_lasseter', 'pete_docter', 'andrew_stanton']","['tom_hanks', 'tim_allen', 'don_rickles']",1995,G,81,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"['English ', ' Russian ', ' Ukrainian']",Nominated,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",popular,High_rated
2,6,Heat ,['michael_mann'],['michael_mann'],"['al_pacino', 'robert_de_niro', 'val_kilmer']",1995,R,170,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"['English ', ' Spanish']",,"['Action', 'Crime', 'Thriller']",popular,High_rated
3,3,Grumpier Old Men ,['howard_deutch'],['mark_steven_johnson'],"['walter_matthau', 'jack_lemmon', 'ann-margret']",1995,PG-13,101,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","['English ', ' Italian ', ' German']",,"['Comedy', 'Romance']",popular,Low_rated
4,7,Sabrina ,['sydney_pollack'],"['samuel_a._taylor', 'billy_wilder', 'ernest_lehman']","['harrison_ford', 'julia_ormond', 'greg_kinnear']",1995,PG,127,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","['English ', ' French']",Nominated,"['Comedy', 'Romance']",popular,Low_rated
5,4,Waiting to Exhale ,['forest_whitaker'],"['terry_mcmillan', 'ron_bass']","['whitney_houston', 'angela_bassett', 'loretta_devine']",1995,R,124,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",['English'],,"['Comedy', 'Drama', 'Romance']",unpopular,Low_rated
6,10,GoldenEye ,['martin_campbell'],"['ian_fleming', 'michael_france', 'jeffrey_caine']","['pierce_brosnan', 'sean_bean', 'izabella_scorupco']",1995,PG-13,130,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond is assigned to stop a Russian crime syn... Read all","['English ', ' Russian ', ' Spanish']",,"['Action', 'Adventure', 'Thriller']",popular,High_rated
7,2,Jumanji ,['joe_johnston'],"['jonathan_hensleigh', 'greg_taylor', 'jim_strain']","['robin_williams', 'kirsten_dunst', 'bonnie_hunt']",1995,PG,104,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.","['English ', ' French']",,"['Adventure', 'Children', 'Fantasy']",popular,High_rated
8,8,Tom and Huck ,['peter_hewitt'],"['mark_twain', 'stephen_sommers', 'david_loughery']","['jonathan_taylor_thomas', 'brad_renfro', 'charles_rocket']",1995,PG,97,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,['English'],,"['Adventure', 'Children']",unpopular,Low_rated
9,11,The American President,['rob_reiner'],['aaron_sorkin'],"['michael_douglas', 'annette_bening', 'martin_sheen']",1995,PG-13,114,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.","['English ', ' French ', ' Spanish']",Nominated,"['Comedy', 'Drama', 'Romance']",popular,High_rated
